;title_lemma;title_pos
Padua;[('study', 8545), ('effect', 5628), ('patient', 5362), ('analysis', 4376), ('cell', 4303), ('model', 4297), ('di', 3938), ('use', 3557), ('system', 3130), ('structure', 2943), ('new', 2724), ('disease', 2639), ('italian', 2616), ('case', 2557), ('italy', 2548), ('treatment', 2462), ('human', 2400), ('measurement', 2357), ('cancer', 2266), ('clinic', 2127), ('control', 2065), ('protein', 2060), ('role', 1988), ('approach', 1945), ('complex', 1944), ('property', 1924), ('activity', 1893), ('high', 1721), ('collision', 1671), ('production', 1654)];[(('study', 'NN'), 6781), (('patients', 'NNS'), 4904), (('analysis', 'NN'), 4043), (('effects', 'NNS'), 3058), (('di', 'NN'), 3005), (('new', 'JJ'), 2718), (('italian', 'JJ'), 2574), (('effect', 'NN'), 2569), (('treatment', 'NN'), 2337), (('using', 'VBG'), 2252), (('human', 'JJ'), 2128), (('model', 'NN'), 2094), (('clinical', 'JJ'), 2072), (('case', 'NN'), 1982), (('cancer', 'NN'), 1953), (('cells', 'NNS'), 1953), (('role', 'NN'), 1927), (('disease', 'NN'), 1881), (('properties', 'NNS'), 1866), (('system', 'NN'), 1703), (('cell', 'NN'), 1697), (('activity', 'NN'), 1668), (('italy', 'NN'), 1664), (('production', 'NN'), 1649), (('approach', 'NN'), 1644), (('collisions', 'NNS'), 1639), (('structure', 'NN'), 1596), (('results', 'NNS'), 1579), (('characterization', 'NN'), 1570), (('evaluation', 'NN'), 1476)]
Napoli;[('study', 9623), ('patient', 7966), ('effect', 6824), ('cell', 6090), ('analysis', 5629), ('model', 4997), ('di', 4886), ('disease', 4236), ('cancer', 4070), ('italy', 3981), ('system', 3968), ('use', 3943), ('case', 3847), ('treatment', 3727), ('new', 3640), ('structure', 3481), ('human', 3230), ('clinic', 3014), ('italian', 2954), ('activity', 2928), ('approach', 2725), ('role', 2468), ('protein', 2433), ('evaluation', 2352), ('control', 2290), ('measurement', 2277), ('experiment', 2255), ('acid', 2239), ('factor', 2218), ('risk', 2152)];[(('study', 'NN'), 8012), (('patients', 'NNS'), 7206), (('analysis', 'NN'), 5274), (('effects', 'NNS'), 3816), (('di', 'NN'), 3753), (('new', 'JJ'), 3635), (('cancer', 'NN'), 3622), (('treatment', 'NN'), 3553), (('case', 'NN'), 3158), (('disease', 'NN'), 3039), (('effect', 'NN'), 3008), (('cells', 'NNS'), 2979), (('human', 'JJ'), 2958), (('italian', 'JJ'), 2926), (('clinical', 'JJ'), 2916), (('model', 'NN'), 2620), (('italy', 'NN'), 2593), (('activity', 'NN'), 2552), (('using', 'VBG'), 2533), (('role', 'NN'), 2401), (('approach', 'NN'), 2364), (('cell', 'NN'), 2346), (('system', 'NN'), 2258), (('evaluation', 'NN'), 2233), (('characterization', 'NN'), 2018), (('properties', 'NNS'), 1926), (('risk', 'NN'), 1918), (('expression', 'NN'), 1829), (('data', 'NNS'), 1810), (('production', 'NN'), 1802)]
Frosinone;[('model', 478), ('analysis', 429), ('system', 378), ('approach', 212), ('effect', 206), ('design', 205), ('study', 203), ('use', 203), ('experiment', 195), ('base', 170), ('control', 169), ('performance', 161), ('power', 159), ('new', 152), ('measurement', 147), ('method', 145), ('italy', 145), ('network', 141), ('italian', 136), ('numerical', 129), ('test', 121), ('energy', 117), ('structure', 112), ('process', 109), ('di', 108), ('detection', 106), ('evaluation', 106), ('application', 99), ('assessment', 98), ('robot', 95)];[(('analysis', 'NN'), 406), (('model', 'NN'), 249), (('systems', 'NNS'), 204), (('approach', 'NN'), 184), (('design', 'NN'), 181), (('system', 'NN'), 174), (('study', 'NN'), 170), (('based', 'VBN'), 159), (('power', 'NN'), 156), (('new', 'JJ'), 152), (('control', 'NN'), 151), (('experimental', 'JJ'), 151), (('using', 'VBG'), 148), (('performance', 'NN'), 147), (('italian', 'JJ'), 135), (('numerical', 'JJ'), 129), (('energy', 'NN'), 109), (('effect', 'NN'), 107), (('detection', 'NN'), 105), (('evaluation', 'NN'), 100), (('effects', 'NNS'), 99), (('method', 'NN'), 93), (('networks', 'NNS'), 91), (('italy', 'NN'), 86), (('di', 'NN'), 84), (('characterization', 'NN'), 82), (('assessment', 'NN'), 81), (('influence', 'NN'), 77), (('treatment', 'NN'), 76), (('case', 'NN'), 76)]
Siena;[('study', 2491), ('patient', 1911), ('cell', 1578), ('effect', 1519), ('di', 1490), ('italy', 1281), ('human', 1183), ('analysis', 1129), ('new', 1104), ('use', 998), ('treatment', 995), ('case', 968), ('structure', 914), ('clinic', 893), ('model', 872), ('italian', 846), ('disease', 810), ('activity', 808), ('cancer', 782), ('system', 755), ('collision', 746), ('synthesis', 739), ('syndrome', 698), ('evaluation', 687), ('search', 676), ('tev', 645), ('del', 642), ('della', 634), ('protein', 631), ('measurement', 587)];[(('study', 'NN'), 1886), (('patients', 'NNS'), 1711), (('di', 'NN'), 1130), (('new', 'JJ'), 1101), (('human', 'JJ'), 1079), (('analysis', 'NN'), 1064), (('treatment', 'NN'), 949), (('clinical', 'JJ'), 877), (('italy', 'NN'), 877), (('effects', 'NNS'), 868), (('italian', 'JJ'), 838), (('case', 'NN'), 758), (('cells', 'NNS'), 753), (('collisions', 'NNS'), 733), (('activity', 'NN'), 729), (('cancer', 'NN'), 694), (('evaluation', 'NN'), 652), (('effect', 'NN'), 651), (('synthesis', 'NN'), 643), (('search', 'NN'), 614), (('della', 'NN'), 612), (('using', 'VBG'), 610), (('cell', 'NN'), 565), (('production', 'NN'), 529), (('structure', 'NN'), 513), (('approach', 'NN'), 507), (('del', 'NN'), 490), (('role', 'NN'), 485), (('disease', 'NN'), 480), (('different', 'JJ'), 480)]
Perugia;[('study', 3451), ('effect', 2250), ('cell', 2139), ('patient', 2052), ('analysis', 1660), ('italy', 1508), ('model', 1485), ('di', 1422), ('use', 1365), ('measurement', 1275), ('new', 1231), ('system', 1199), ('search', 1095), ('disease', 1075), ('structure', 1019), ('collision', 1012), ('treatment', 1008), ('case', 1000), ('activity', 999), ('decay', 985), ('italian', 960), ('molecule', 942), ('acid', 908), ('cancer', 872), ('property', 834), ('human', 829), ('experiment', 815), ('reaction', 784), ('production', 777), ('tev', 770)];[(('study', 'NN'), 2790), (('patients', 'NNS'), 1876), (('analysis', 'NN'), 1557), (('new', 'JJ'), 1229), (('effects', 'NNS'), 1169), (('cells', 'NNS'), 1090), (('effect', 'NN'), 1081), (('di', 'NN'), 1070), (('search', 'NN'), 1001), (('collisions', 'NNS'), 976), (('italian', 'JJ'), 951), (('treatment', 'NN'), 949), (('italy', 'NN'), 948), (('using', 'VBG'), 891), (('activity', 'NN'), 888), (('case', 'NN'), 841), (('properties', 'NNS'), 818), (('cell', 'NN'), 804), (('cancer', 'NN'), 790), (('production', 'NN'), 774), (('measurement', 'NN'), 749), (('model', 'NN'), 729), (('human', 'JJ'), 728), (('role', 'NN'), 725), (('clinical', 'JJ'), 683), (('system', 'NN'), 664), (('synthesis', 'NN'), 660), (('evaluation', 'NN'), 659), (('characterization', 'NN'), 649), (('disease', 'NN'), 631)]
Vercelli;[('study', 1229), ('collision', 1209), ('patient', 1144), ('tev', 972), ('cell', 902), ('measurement', 684), ('search', 639), ('production', 599), ('analysis', 523), ('pp', 510), ('effect', 489), ('decay', 474), ('cancer', 464), ('use', 443), ('√s', 418), ('disease', 413), ('human', 382), ('italian', 381), ('model', 341), ('new', 336), ('clinic', 336), ('treatment', 334), ('italy', 330), ('boson', 326), ('protonproton', 321), ('structure', 297), ('di', 294), ('state', 281), ('chronic', 280), ('synthesis', 280)];[(('collisions', 'NNS'), 1202), (('patients', 'NNS'), 1050), (('study', 'NN'), 1047), (('tev', 'NN'), 641), (('search', 'NN'), 601), (('production', 'NN'), 599), (('analysis', 'NN'), 494), (('measurement', 'NN'), 439), (('cells', 'NNS'), 415), (('cancer', 'NN'), 407), (('√s', 'VBP'), 385), (('italian', 'JJ'), 375), (('cell', 'NN'), 359), (('human', 'JJ'), 350), (('new', 'JJ'), 335), (('clinical', 'JJ'), 329), (('treatment', 'NN'), 318), (('disease', 'NN'), 300), (('using', 'VBG'), 289), (('effects', 'NNS'), 288), (('tev', 'VBP'), 270), (('synthesis', 'NN'), 260), (('chronic', 'JJ'), 258), (('role', 'NN'), 256), (('pp', 'NN'), 251), (('cross', 'NN'), 240), (('risk', 'NN'), 222), (('results', 'NNS'), 217), (('di', 'NN'), 215), (('evaluation', 'NN'), 211)]
Benevento;[('model', 366), ('analysis', 341), ('system', 317), ('italy', 315), ('effect', 265), ('study', 221), ('use', 189), ('approach', 182), ('southern', 171), ('wave', 162), ('data', 155), ('energy', 152), ('base', 151), ('experiment', 148), ('network', 147), ('performance', 143), ('control', 138), ('cell', 137), ('application', 136), ('gravitation', 132), ('case', 129), ('assessment', 123), ('search', 123), ('protein', 121), ('build', 118), ('dynamic', 113), ('measurement', 111), ('method', 109), ('design', 108), ('structure', 108)];[(('analysis', 'NN'), 317), (('italy', 'NN'), 217), (('study', 'NN'), 193), (('model', 'NN'), 193), (('southern', 'JJ'), 170), (('systems', 'NNS'), 164), (('approach', 'NN'), 163), (('using', 'VBG'), 163), (('effects', 'NNS'), 159), (('system', 'NN'), 153), (('energy', 'NN'), 150), (('data', 'NNS'), 147), (('based', 'VBN'), 144), (('gravitational', 'JJ'), 132), (('performance', 'NN'), 127), (('case', 'NN'), 124), (('control', 'NN'), 118), (('experimental', 'JJ'), 106), (('effect', 'NN'), 106), (('detection', 'NN'), 105), (('search', 'NN'), 105), (('new', 'JJ'), 104), (('design', 'NN'), 95), (('italian', 'JJ'), 90), (('characterization', 'NN'), 89), (('power', 'NN'), 87), (('waves', 'NNS'), 87), (('assessment', 'NN'), 78), (('networks', 'NNS'), 76), (('water', 'NN'), 75)]
Modena;[('study', 3247), ('patient', 2143), ('effect', 2063), ('cell', 1750), ('di', 1564), ('analysis', 1413), ('structure', 1168), ('model', 1071), ('treatment', 1052), ('case', 1013), ('use', 988), ('human', 971), ('system', 962), ('rat', 949), ('italy', 937), ('clinic', 909), ('molecule', 903), ('property', 882), ('new', 881), ('italian', 845), ('disease', 844), ('cancer', 803), ('activity', 711), ('acid', 696), ('receptor', 680), ('approach', 673), ('role', 664), ('surface', 656), ('complex', 653), ('evaluation', 601)];[(('study', 'NN'), 2635), (('patients', 'NNS'), 1939), (('analysis', 'NN'), 1306), (('di', 'NN'), 1203), (('effects', 'NNS'), 1104), (('treatment', 'NN'), 983), (('effect', 'NN'), 959), (('human', 'JJ'), 891), (('clinical', 'JJ'), 884), (('new', 'JJ'), 879), (('properties', 'NNS'), 870), (('italian', 'JJ'), 834), (('cells', 'NNS'), 782), (('cell', 'NN'), 749), (('case', 'NN'), 748), (('cancer', 'NN'), 735), (('role', 'NN'), 647), (('activity', 'NN'), 618), (('italy', 'NN'), 607), (('molecular', 'JJ'), 592), (('disease', 'NN'), 585), (('structure', 'NN'), 583), (('characterization', 'NN'), 581), (('evaluation', 'NN'), 576), (('using', 'VBG'), 569), (('approach', 'NN'), 554), (('della', 'NN'), 539), (('results', 'NNS'), 526), (('system', 'NN'), 520), (('model', 'NN'), 512)]
Parma;[('study', 2762), ('effect', 2195), ('di', 1996), ('structure', 1917), ('cell', 1582), ('patient', 1568), ('analysis', 1376), ('complex', 1299), ('model', 1291), ('synthesis', 1142), ('new', 1057), ('case', 1055), ('use', 1035), ('crystal', 1025), ('system', 1018), ('treatment', 985), ('italy', 962), ('human', 956), ('acid', 882), ('property', 864), ('molecule', 845), ('activity', 805), ('italian', 792), ('del', 792), ('disease', 791), ('della', 735), ('clinic', 728), ('characterization', 718), ('approach', 704), ('evaluation', 646)];[(('study', 'NN'), 2247), (('di', 'NN'), 1555), (('patients', 'NNS'), 1425), (('analysis', 'NN'), 1279), (('structure', 'NN'), 1124), (('effects', 'NNS'), 1118), (('effect', 'NN'), 1077), (('new', 'JJ'), 1055), (('synthesis', 'NN'), 986), (('treatment', 'NN'), 941), (('properties', 'NNS'), 852), (('human', 'JJ'), 846), (('case', 'NN'), 831), (('complexes', 'NNS'), 807), (('italian', 'JJ'), 788), (('cells', 'NNS'), 777), (('model', 'NN'), 742), (('della', 'NN'), 725), (('activity', 'NN'), 717), (('clinical', 'JJ'), 709), (('characterization', 'NN'), 703), (('italy', 'NN'), 667), (('using', 'VBG'), 625), (('del', 'NN'), 621), (('molecular', 'JJ'), 614), (('evaluation', 'NN'), 610), (('approach', 'NN'), 609), (('role', 'NN'), 595), (('cell', 'NN'), 589), (('different', 'JJ'), 566)]
Roma;[('study', 21992), ('patient', 19145), ('cell', 12931), ('di', 11681), ('effect', 11664), ('analysis', 10918), ('model', 9953), ('use', 8937), ('treatment', 8715), ('disease', 8639), ('case', 8383), ('system', 7907), ('human', 7648), ('new', 7248), ('cancer', 7171), ('clinic', 6838), ('italian', 6833), ('italy', 6677), ('structure', 6012), ('role', 5542), ('measurement', 5288), ('result', 5068), ('approach', 4945), ('del', 4802), ('activity', 4734), ('della', 4694), ('evaluation', 4622), ('factor', 4619), ('syndrome', 4566), ('surgery', 4454)];[(('study', 'NN'), 18413), (('patients', 'NNS'), 17245), (('analysis', 'NN'), 10215), (('di', 'NN'), 8946), (('treatment', 'NN'), 8356), (('new', 'JJ'), 7240), (('human', 'JJ'), 6938), (('italian', 'JJ'), 6743), (('case', 'NN'), 6716), (('clinical', 'JJ'), 6685), (('cancer', 'NN'), 6667), (('effects', 'NNS'), 6487), (('cells', 'NNS'), 6426), (('using', 'VBG'), 5575), (('disease', 'NN'), 5499), (('model', 'NN'), 5495), (('role', 'NN'), 5375), (('effect', 'NN'), 5176), (('cell', 'NN'), 4972), (('results', 'NNS'), 4834), (('della', 'NN'), 4591), (('evaluation', 'NN'), 4351), (('approach', 'NN'), 4309), (('system', 'NN'), 4258), (('italy', 'NN'), 4237), (('activity', 'NN'), 4167), (('collisions', 'NNS'), 3902), (('del', 'NN'), 3821), (('search', 'NN'), 3727), (('data', 'NNS'), 3668)]
